지표,phase,phase_name,n,mean,std,cv,q05,q25,q50,q75,q95,min,max,임계규칙,판단가능일,발동일,발동률%
RSI,dotcom_crash,닷컴 붕괴,695,46.77050244719408,10.113403134028978,0.2162346480123331,30.38757560841096,39.81389924865698,47.14373679308402,54.16297687806978,62.98873859745074,13.639346473936529,70.33802125414103,RSI < 30 (레벨),695.0,31.0,4.460432
RSI,recovery_expansion,회복·확장,1258,54.54937907406203,10.121585061635244,0.1855490426003402,36.62902770876665,47.25509204747179,55.6637763043608,61.86645817664456,70.21612222907275,25.70378925349836,79.81015558628319,RSI < 30 (레벨),1258.0,10.0,0.794913
RSI,financial_crisis,금융위기,355,44.8957571805948,8.74589322128861,0.1948044485831465,28.68843351796827,39.04150618007238,45.11013124278279,51.17263230405315,58.53586630206462,22.982435854140306,66.17224718914143,RSI < 30 (레벨),355.0,22.0,6.197183
RSI,long_bull,장기 강세,2756,55.99844991866525,11.043726724366946,0.1972148647044224,36.37608226911339,48.42577420598965,57.273961270381136,64.02909062521105,71.91566029940441,16.45758382831653,86.68665002844536,RSI < 30 (레벨),2756.0,37.0,1.342525
RSI,covid_crash,코로나,135,54.52683012569869,12.52164947110664,0.2296419843633114,30.169246929179803,49.58997745315634,56.4514572785206,62.881430183356144,72.31602000727301,19.16401005586779,79.26443593485081,RSI < 30 (레벨),135.0,6.0,4.444444
RSI,recent,최근 국면,1485,55.502643739856495,11.214862247794482,0.2020599649335456,35.21274374383212,47.27535176804047,57.07817804100426,64.05810738481816,71.56487306921746,21.362555732977317,82.90040987634734,RSI < 30 (레벨),1485.0,20.0,1.346801
ATR_원단위,dotcom_crash,닷컴 붕괴,695,22.39410451791785,5.5248814689139705,0.2467114264155296,15.048065712978094,17.581119824536753,21.68094818389024,26.575680125252862,31.54991922421307,13.125415731722631,39.77009321203873,,,,
ATR_원단위,recovery_expansion,회복·확장,1258,12.540412862597876,3.7191921310278,0.2965765299578288,9.181905122718328,10.033079688259466,11.186479360686704,14.067567619310465,21.16612394904522,8.22879300675251,28.86290434518566,,,,
ATR_원단위,financial_crisis,금융위기,355,29.14599000703153,11.371539479042584,0.3901579420118917,18.046035900388784,21.90399434197519,25.64424696314352,30.805629117995338,54.34654209535167,15.443229604229025,63.48773055429183,,,,
ATR_원단위,long_bull,장기 강세,2756,20.36995125053513,8.852580109007532,0.4345901470321372,11.703959715173578,14.301104274044643,17.353698445489265,23.534753055055525,38.79526716755952,8.678779762954784,65.62851211363545,,,,
ATR_원단위,covid_crash,코로나,135,75.85550534889119,33.9546640313024,0.4476229362012777,34.66638913745718,51.83222690475365,65.93550008898359,92.89145948859444,147.05484839008537,29.83802317661317,152.75646658089204,,,,
ATR_원단위,recent,최근 국면,1485,63.23114403120282,22.764898067215423,0.3600266674912852,37.1553230320709,45.5910343139884,59.19022237478826,75.93598065080074,98.54226503032802,28.74332104045617,198.14682885138237,,,,
ATR_정규화%,dotcom_crash,닷컴 붕괴,695,1.8520086099132045,0.5155867821375812,0.2783932965418257,1.1994161001071886,1.4638082026307973,1.7421119707271857,2.1325228738359847,2.808356435080749,1.0347808473964817,3.7136378384991975,,,,
ATR_정규화%,recovery_expansion,회복·확장,1258,1.0924394325283426,0.4310146488952919,0.3945432909701467,0.6985238218715026,0.8033337556361586,0.9452590587884498,1.1622787717113063,1.9791997675137,0.6124888695512539,3.1340996914520622,,,,
ATR_정규화%,financial_crisis,금융위기,355,2.661697751363133,1.5643799787936696,0.5877376490221344,1.26278260148384,1.5952528607812133,1.9271347036951845,3.351610499770015,6.099092975317579,0.9883856902081412,7.089386020649502,,,,
ATR_정규화%,long_bull,장기 강세,2756,1.1519887149863486,0.5391299858509797,0.4679993639150958,0.5861830084370196,0.7989451734246293,0.9854652293438236,1.348054615302173,2.3025873898735125,0.3636769047471503,3.923992056561103,,,,
ATR_정규화%,covid_crash,코로나,135,2.6487504969798388,1.4830690037333676,0.5599126854055881,1.0069419553538164,1.5965126991582932,2.161585743189908,3.2937110971235164,5.832811644612679,0.8845534798806343,6.546775889509175,,,,
ATR_정규화%,recent,최근 국면,1485,1.301323464409886,0.4925967175104592,0.3785351843585162,0.7688244702197082,0.928757305156566,1.1627889784416916,1.572107952912934,2.2750384580195395,0.6377147173821204,3.761293765200771,,,,
볼린저_밴드폭%,dotcom_crash,닷컴 붕괴,695,8.75010874714401,4.184594595095374,0.4782334386942566,4.289096738941726,5.930039851322257,7.430034485974901,10.473950784499657,16.568646542040934,2.829764657069377,25.5211940356611,종가 < 하단 OR 종가 > 상단 (레벨),695.0,83.0,11.942446
볼린저_밴드폭%,recovery_expansion,회복·확장,1258,4.976814985786816,2.586587697634807,0.5197275175030195,2.2910926764919077,3.283779191337031,4.424530116465896,5.773527340774403,10.025465307498791,1.50214445645251,19.445253343869084,종가 < 하단 OR 종가 > 상단 (레벨),1258.0,116.0,9.220986
볼린저_밴드폭%,financial_crisis,금융위기,355,11.092128939630838,7.92641102057005,0.7145978074821995,4.130833594046557,5.828899655111773,8.348855568447885,12.768872625357812,28.35652685232447,3.5336970971087185,42.10691635413403,종가 < 하단 OR 종가 > 상단 (레벨),355.0,43.0,12.112676
