signal_id,label,h,n,mean_sig,mean_all,sd_sig,sd_all,sd_ratio,t_naive,t_adj,p_perm,판정
S1_rsi_oversold,S1 RSI<30,1,65,-0.004695678159559323,0.00032469211984899077,0.02599340962517512,0.012125282297290266,2.143736449829632,-3.3381094305353054,-1.5571454367912592,0.0018998100189981,액면 해석 불가
S1_rsi_oversold,S1 RSI<30,5,65,-0.00043356679768665325,0.0015420432476427996,0.04347570728368014,0.024526117610091665,1.7726289979866752,-0.6494251413448351,-0.36636269748629985,0.51004899510049,액면 해석 불가
S1_rsi_oversold,S1 RSI<30,10,65,0.0027642311653849234,0.003028106562400554,0.05049761195240386,0.03308995023875709,1.5260709547171756,-0.0642923742352093,-0.04212934794183572,0.948105189481052,액면 해석 불가
S1_rsi_oversold,S1 RSI<30,20,65,0.01796678651755734,0.006086591681111843,0.06715939678231121,0.04603799517229333,1.4587819589226858,2.08048140482608,1.426177087055917,0.035996400359964,주의
S2_rsi_overbought,S2 RSI>70,1,137,6.213940121283342e-05,0.00032469211984899077,0.006133600308906257,0.012125282297290266,0.5058521656256186,-0.2534457101313506,-0.5010272315784171,0.7902209779022098,양호
S2_rsi_overbought,S2 RSI>70,5,137,0.0012893135425270173,0.0015420432476427996,0.011977562311030055,0.024526117610091665,0.48835949094942344,-0.12061123590501444,-0.24697223692844222,0.9002099790020998,양호
S2_rsi_overbought,S2 RSI>70,10,137,0.003946963928422898,0.003028106562400554,0.0181871769840394,0.03308995023875709,0.5496284174745419,0.32502163504159354,0.5913479447351321,0.7399260073992601,양호
S2_rsi_overbought,S2 RSI>70,20,137,0.009169616487680924,0.006086591681111843,0.029262331823004046,0.04603799517229333,0.6356126437194372,0.7838282280352813,1.233185393305781,0.4217578242175782,양호
S3_bb_lower_break,S3 볼린저 하단,1,209,-0.00016715866647075317,0.00032469211984899077,0.0185218016480232,0.012125282297290266,1.527535705470743,-0.5864279410203574,-0.3839045718670367,0.5472452754724527,액면 해석 불가
S3_bb_lower_break,S3 볼린저 하단,5,208,0.0021617164893997652,0.0015420432476427996,0.03713059279627821,0.024526117610091665,1.5139205228715134,0.3643892902590353,0.2406924833596176,0.7106289371062894,액면 해석 불가
S3_bb_lower_break,S3 볼린저 하단,10,208,0.0015991310482838367,0.003028106562400554,0.044217660081481217,0.03308995023875709,1.3362866901410637,-0.6228168311351159,-0.4660802473976365,0.5284471552844715,주의
S3_bb_lower_break,S3 볼린저 하단,20,208,0.008460758651482036,0.006086591681111843,0.06269282970840728,0.04603799517229333,1.3617628107780244,0.7437492198473861,0.5461664938716129,0.451954804519548,주의
S4_bb_upper_break,S4 볼린저 상단,1,191,-0.0005054800171195948,0.00032469211984899077,0.006485226871269707,0.012125282297290266,0.534851619307784,-0.9462218624387483,-1.7691296581720517,0.3387661233876612,양호
S4_bb_upper_break,S4 볼린저 상단,5,191,-0.0008973893251896083,0.0015420432476427996,0.015047349955287032,0.024526117610091665,0.6135235178475845,-1.3746011269105018,-2.240502746712945,0.1675832416758324,양호
S4_bb_upper_break,S4 볼린저 상단,10,191,0.00044924268689569194,0.003028106562400554,0.021259906777902016,0.03308995023875709,0.642488327256565,-1.0770825458946305,-1.676423524289989,0.2793720627937206,양호
S4_bb_upper_break,S4 볼린저 상단,20,191,0.0022520343684160437,0.006086591681111843,0.03305231732338527,0.04603799517229333,0.7179356355481976,-1.1511065201073185,-1.6033561549404949,0.240975902409759,양호
S5_macd_cross,S5 MACD>Signal,1,283,0.0003149089380330088,0.00032469211984899077,0.00973523134695467,0.012125282297290266,0.8028869850832487,-0.013573176109398262,-0.016905462862859714,0.9889011098890113,양호
S5_macd_cross,S5 MACD>Signal,5,283,0.0008346293670503069,0.0015420432476427996,0.019667819334394862,0.024526117610091665,0.8019132765759153,-0.4852192121968686,-0.6050769158838512,0.619038096190381,양호
S5_macd_cross,S5 MACD>Signal,10,283,0.0021269845572379114,0.003028106562400554,0.03191068829778869,0.03308995023875709,0.9643619306629487,-0.4581215262070168,-0.47505144245177955,0.6493350664933507,양호
S5_macd_cross,S5 MACD>Signal,20,282,0.004005244097775761,0.006086591681111843,0.044727251118444035,0.04603799517229333,0.9715290805139549,-0.7591939948512698,-0.7814423778747247,0.4346565343465653,양호
