signal_id,holding_days,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,exit_reason
S1_rsi_oversold,1,2000-10-11,2000-10-12,1364.5899658203125,1329.780029296875,73.20887768659925,-2745.6481886375896,-2.745648188637595,time_stop
S1_rsi_oversold,1,2001-02-23,2001-02-26,1245.8599853515625,1267.6500244140625,80.1856557516049,1545.7011227083815,1.5457011227083761,time_stop
S1_rsi_oversold,1,2001-03-13,2001-03-14,1197.6600341796875,1166.7099609375,83.41273570886452,-2778.8488490412433,-2.7788488490412377,time_stop
S1_rsi_oversold,1,2001-03-15,2001-03-16,1173.56005859375,1150.530029296875,85.12568161173438,-2158.286694293466,-2.1582866942934653,time_stop
S1_rsi_oversold,1,2001-03-19,2001-03-20,1170.81005859375,1142.6199951171875,85.32562490972197,-2602.729647400232,-2.602729647400237,time_stop
S1_rsi_oversold,1,2001-03-21,2001-03-22,1122.1400146484375,1117.5799560546875,89.0264125652789,-605.359891831527,-0.605359891831525,time_stop
S1_rsi_oversold,1,2001-09-07,2001-09-10,1085.780029296875,1092.5400390625,92.00767853944856,421.55063283353525,0.4215506328335339,time_stop
S1_rsi_oversold,1,2001-09-27,2001-09-28,1018.6099853515625,1040.93994140625,98.07492694627419,1988.0186001680172,1.9880186001680178,time_stop
S1_rsi_oversold,1,2002-04-30,2002-05-01,1076.9200439453125,1086.4599609375,92.76463973510458,684.2817961200143,0.684281796120012,time_stop
S1_rsi_oversold,1,2002-05-08,2002-05-09,1088.8499755859375,1073.010009765625,91.74826848514292,-1651.6363472408243,-1.6516363472408258,time_stop
S1_rsi_oversold,1,2002-06-27,2002-06-28,990.6400146484375,989.8200073242188,100.84399824647996,-282.4103241486324,-0.28241032414862977,time_stop
S1_rsi_oversold,1,2002-07-03,2002-07-05,953.989990234375,989.030029296875,104.71818459600041,3465.8597497189576,3.465859749718958,time_stop
S1_rsi_oversold,1,2002-07-17,2002-07-18,906.0399780273438,881.5599975585938,110.26014560373514,-2896.267244450298,-2.8962672444503013,time_stop
S1_rsi_oversold,1,2002-07-19,2002-07-22,847.75,819.8499755859375,117.84146257752865,-3484.29210301917,-3.484292103019171,time_stop
S1_rsi_oversold,1,2002-09-25,2002-09-26,839.6599731445312,854.9500122070312,118.9768514580652,1617.541345820562,1.6175413458205723,time_stop
S1_rsi_oversold,1,2004-08-09,2004-08-10,1065.219970703125,1079.0400390625,93.78354015852553,1094.9986412388498,1.0949986412388535,time_stop
S1_rsi_oversold,1,2005-10-13,2005-10-14,1176.8399658203125,1186.5699462890625,84.88843241354816,625.3366268170456,0.6253366268170524,time_stop
S1_rsi_oversold,1,2006-05-19,2006-05-22,1267.030029296875,1262.0699462890625,78.84588177877554,-590.4912361286516,-0.5904912361286541,time_stop
S1_rsi_oversold,1,2006-05-24,2006-05-25,1258.5699462890625,1272.8800048828125,79.37588228183809,934.9374530571374,0.9349374530571275,time_stop
S1_rsi_oversold,1,2006-06-14,2006-06-15,1230.0400390625,1256.1600341796875,81.21694963380283,1919.4647417397496,1.9194647417397404,time_stop
S1_rsi_oversold,1,2007-02-28,2007-03-01,1406.8199462890625,1403.1700439453125,71.01129050922144,-458.7252911868335,-0.45872529118683447,time_stop
S1_rsi_oversold,1,2007-03-05,2007-03-06,1374.1199951171875,1395.4100341796875,72.7011471014802,1346.4622516172078,1.3464622516172087,time_stop
S1_rsi_oversold,1,2008-01-18,2008-01-22,1325.18994140625,1310.5,75.38549514953989,-1306.1012979214452,-1.306101297921447,time_stop
S1_rsi_oversold,1,2008-06-27,2008-06-30,1278.3800048828125,1280.0,78.14585609797427,-73.33089039833231,-0.07333089039833762,time_stop
S1_rsi_oversold,1,2008-07-03,2008-07-07,1262.9000244140625,1252.31005859375,79.10372790312499,-1036.6682687788382,-1.0366682687788398,time_stop
S1_rsi_oversold,1,2008-07-10,2008-07-11,1253.3900146484375,1239.489990234375,79.70392194972194,-1306.5787743368733,-1.306578774336875,time_stop
S1_rsi_oversold,1,2008-07-15,2008-07-16,1214.9100341796875,1245.3599853515625,82.2283931234076,2301.5465051937576,2.3015465051937634,time_stop
S1_rsi_oversold,1,2008-10-08,2008-10-09,984.9400024414062,909.9199829101562,101.42759929790031,-7801.291579656132,-7.801291579656134,time_stop
S1_rsi_oversold,1,2009-02-24,2009-02-25,773.1400146484375,764.9000244140625,129.21346458251358,-1263.4531684235446,-1.263453168423545,time_stop
S1_rsi_oversold,1,2009-03-03,2009-03-04,696.3300170898438,712.8699951171875,143.46659981370635,2170.7612743676573,2.1707612743676608,time_stop
S1_rsi_oversold,1,2009-03-06,2009-03-09,683.3800048828125,676.530029296875,146.1852837166797,-1200.16445865831,-1.200164458658315,time_stop
S1_rsi_oversold,1,2010-05-21,2010-05-24,1087.68994140625,1073.6500244140625,91.84611909800445,-1488.022576102545,-1.4880225761025434,time_stop
S1_rsi_oversold,1,2011-08-05,2011-08-08,1199.3800048828125,1119.4599609375,83.29311768863516,-6849.93303619198,-6.849933036191979,time_stop
S1_rsi_oversold,1,2011-08-11,2011-08-12,1172.6400146484375,1178.81005859375,85.1924705384119,325.3154459445112,0.32531544594451844,time_stop
S1_rsi_oversold,1,2012-05-17,2012-05-18,1304.8599853515625,1295.219970703125,76.56001488403699,-937.1018251019295,-0.937101825101927,time_stop
S1_rsi_oversold,1,2012-06-04,2012-06-05,1278.1800537109375,1285.5,78.15808078843052,371.7406406739149,0.3717406406739121,time_stop
S1_rsi_oversold,1,2012-11-15,2012-11-16,1353.3299560546875,1359.8800048828125,73.81799202268083,283.22774089037193,0.2832277408903794,time_stop
S1_rsi_oversold,1,2014-10-16,2014-10-17,1862.760009765625,1886.760009765625,53.63015062400308,1086.0362915609103,1.0860362915609212,time_stop
S1_rsi_oversold,1,2015-08-24,2015-08-25,1893.2099609375,1867.6099853515625,52.76757568433155,-1549.2980003989373,-1.5492980003989354,time_stop
S1_rsi_oversold,1,2016-01-11,2016-01-12,1923.6700439453125,1938.6800537109375,51.932034921753946,578.920651172796,0.5789206511727985,time_stop
S1_rsi_oversold,1,2016-01-14,2016-01-15,1921.8399658203125,1880.3299560546875,51.981487364614594,-2355.3944958889165,-2.3553944958889184,time_stop
S1_rsi_oversold,1,2016-01-21,2016-01-22,1868.989990234375,1906.9000244140625,53.45138305827536,1824.5172151319098,1.8245172151319045,time_stop
S1_rsi_oversold,1,2016-11-04,2016-11-07,2085.179931640625,2131.52001953125,47.90958247017956,2018.113928408595,2.0181139284086047,time_stop
S1_rsi_oversold,1,2018-02-06,2018-02-07,2695.139892578125,2681.659912109375,37.06675864032318,-698.9597231291107,-0.6989597231291111,time_stop
S1_rsi_oversold,1,2018-02-09,2018-02-12,2619.550048828125,2656.0,38.13635854935887,1188.8781387900606,1.1888781387900504,time_stop
S1_rsi_oversold,1,2018-03-26,2018-03-27,2658.550048828125,2612.6201171875,37.57691149885832,-1923.9792712321482,-1.9239792712321457,time_stop
S1_rsi_oversold,1,2018-10-11,2018-10-12,2728.3701171875,2767.1298828125,36.6153034996148,1217.981181551179,1.2179811815511865,time_stop
S1_rsi_oversold,1,2018-10-25,2018-10-26,2705.570068359375,2658.68994140625,36.92386350233322,-1929.0646129808472,-1.9290646129808464,time_stop
S1_rsi_oversold,1,2018-10-30,2018-10-31,2682.6298828125,2711.739990234375,37.239613462951326,883.164899307163,0.8831648993071539,time_stop
S1_rsi_oversold,1,2018-12-20,2018-12-21,2467.419921875,2416.6201171875,40.487676627084014,-2254.5094986418103,-2.25450949864181,time_stop
S1_rsi_oversold,1,2019-06-04,2019-06-05,2803.27001953125,2826.14990234375,35.63698794767004,614.7545381249462,0.6147545381249397,time_stop
S1_rsi_oversold,1,2019-08-06,2019-08-07,2881.77001953125,2883.97998046875,34.666229165764484,-123.26579850572897,-0.12326579850573394,time_stop
S1_rsi_oversold,1,2020-02-26,2020-02-27,3116.389892578125,2978.760009765625,32.056354738544805,-4607.300633515983,-4.607300633515987,time_stop
S1_rsi_oversold,1,2020-03-10,2020-03-11,2882.22998046875,2741.3798828125,34.66069695238293,-5076.880787826428,-5.076880787826433,time_stop
S1_rsi_oversold,1,2020-03-13,2020-03-16,2711.02001953125,2386.1298828125,36.849635628058984,-12159.91127387916,-12.159911273879153,time_stop
S1_rsi_oversold,1,2022-01-24,2022-01-25,4410.1298828125,4356.4501953125,22.65241672120323,-1414.558875863432,-1.4145588758634364,time_stop
S1_rsi_oversold,1,2022-09-26,2022-09-27,3655.0400390625,3647.2900390625,27.332149260319405,-411.4125324108987,-0.41141253241090414,time_stop
S1_rsi_oversold,1,2022-10-03,2022-10-04,3678.429931640625,3790.929931640625,27.158353361795108,2852.4592386485624,2.8524592386485637,time_stop
S1_rsi_oversold,1,2023-10-04,2023-10-05,4263.75,4258.18994140625,23.430102585775412,-329.94267029143094,-0.32994267029142765,time_stop
S1_rsi_oversold,1,2023-10-30,2023-10-31,4166.81982421875,4193.7998046875,23.975142702223867,446.4018331594459,0.4464018331594488,time_stop
S1_rsi_oversold,1,2025-03-11,2025-03-12,5572.06982421875,5599.2998046875,17.928723625445006,287.9103955561352,0.2879103955561346,time_stop
S1_rsi_oversold,1,2025-03-14,2025-03-17,5638.93994140625,5675.1201171875,17.716113478446914,440.53092791078467,0.4405309279107872,time_stop
S1_rsi_oversold,1,2025-04-07,2025-04-08,5062.25,4982.77001953125,19.73432760138277,-1766.715688149671,-1.766715688149667,time_stop
S1_rsi_oversold,1,2026-03-23,2026-03-24,6581.0,6556.3701171875,15.180079000167135,-573.3098830919415,-0.5733098830919436,time_stop
S1_rsi_oversold,1,2026-03-30,2026-03-31,6343.72021484375,6528.52001953125,15.747872938397002,2707.4934396158787,2.707493439615871,time_stop
S1_rsi_oversold,5,2000-10-11,2000-10-18,1364.5899658203125,1342.1300048828125,73.20887768659925,-1842.4244643863085,-1.8424244643863052,time_stop
S1_rsi_oversold,5,2001-02-23,2001-03-02,1245.8599853515625,1234.1800537109375,80.1856557516049,-1135.4266145598954,-1.135426614559898,time_stop
S1_rsi_oversold,5,2001-03-13,2001-03-20,1197.6600341796875,1142.6199951171875,83.41273570886452,-4786.249391294356,-4.786249391294362,time_stop
S1_rsi_oversold,5,2001-03-21,2001-03-28,1122.1400146484375,1153.2900390625,89.0264125652789,2570.6015501797456,2.570601550179741,time_stop
S1_rsi_oversold,5,2001-09-07,2001-09-20,1085.780029296875,984.5399780273438,92.00767853944856,-9505.347430231986,-9.50534743023198,time_stop
S1_rsi_oversold,5,2001-09-27,2001-10-04,1018.6099853515625,1069.6300048828125,98.07492694627419,4798.980703836316,4.798980703836309,time_stop
S1_rsi_oversold,5,2002-04-30,2002-05-07,1076.9200439453125,1049.489990234375,92.76463973510458,-2741.794711159465,-2.741794711159462,time_stop
