signal_id,regime,regime_name,n_trades,mean_return_pct,median_return_pct,std_return_pct,win_rate,n_boundary,sufficient
S1_rsi_oversold,dotcom_crash,닷컴 붕괴,15,-0.6321684028462345,-0.605359891831525,2.1715233147707087,0.4,0,False
S1_rsi_oversold,recovery_expansion,회복·확장,7,0.6959975981649278,0.9349374530571276,0.9246352116965426,0.7142857142857143,0,False
S1_rsi_oversold,financial_crisis,금융위기,9,-1.057253406512452,-1.200164458658315,2.922738957211697,0.2222222222222222,0,False
S1_rsi_oversold,long_bull,장기 강세,21,-0.4627084841246467,0.2832277408903794,1.9971347066914134,0.5238095238095238,0,True
S1_rsi_oversold,covid_crash,코로나,3,-7.281364231740523,-5.076880787826433,4.231464558766884,0.0,0,False
S1_rsi_oversold,recent,최근 국면,10,0.2238856185083427,-0.021016137367646487,1.533735418966174,0.5,0,False
S2_rsi_overbought,dotcom_crash,닷컴 붕괴,2,-1.0921754964835049,-1.0921754964835049,0.9293679780464439,0.0,0,False
S2_rsi_overbought,recovery_expansion,회복·확장,19,-0.17847477925683958,-0.211825895852602,0.6551879845026195,0.42105263157894735,0,False
S2_rsi_overbought,financial_crisis,금융위기,0,,,,,0,False
S2_rsi_overbought,long_bull,장기 강세,78,-0.25306043646077436,-0.1927596853234736,0.5995529542144474,0.28205128205128205,0,True
S2_rsi_overbought,covid_crash,코로나,2,-0.08021684008213126,-0.08021684008213126,1.2698819895119828,0.5,0,False
S2_rsi_overbought,recent,최근 국면,36,-0.029124971437029707,0.04238315752925765,0.5394146426974913,0.5277777777777778,0,True
S3_bb_lower_break,dotcom_crash,닷컴 붕괴,40,-0.06790231167319638,-0.07208776395313254,1.7695033846016988,0.5,0,True
S3_bb_lower_break,recovery_expansion,회복·확장,25,0.09537525944287449,0.2130623507675677,0.6172323162369213,0.64,0,True
S3_bb_lower_break,financial_crisis,금융위기,20,-0.1358854773254831,-0.4619210805158702,2.526280798945393,0.4,0,True
S3_bb_lower_break,long_bull,장기 강세,74,-0.20676557363370668,0.0532062358042928,1.46118690427645,0.5135135135135135,0,True
S3_bb_lower_break,covid_crash,코로나,4,-6.804153342797116,-5.2247007318966645,3.5843803469365207,0.0,0,False
S3_bb_lower_break,recent,최근 국면,46,0.006995841564715014,0.2350368459551166,1.3699227733173065,0.5434782608695652,1,True
S4_bb_upper_break,dotcom_crash,닷컴 붕괴,11,-0.5403620495188619,-0.8655319245800208,0.9005495810933662,0.2727272727272727,0,False
S4_bb_upper_break,recovery_expansion,회복·확장,40,-0.2269985709707595,-0.2351172901814913,0.6091250964899677,0.275,0,True
S4_bb_upper_break,financial_crisis,금융위기,4,0.23749358973848833,0.2398991008702278,0.37876245529830216,0.5,0,False
S4_bb_upper_break,long_bull,장기 강세,79,-0.27409372303924384,-0.2091824424973687,0.6084947157826034,0.3291139240506329,0,True
S4_bb_upper_break,covid_crash,코로나,5,0.41078562065863367,0.2804718770376135,1.252094632400038,0.6,0,False
S4_bb_upper_break,recent,최근 국면,52,-0.2716113346311906,-0.17822484921027884,0.5820305786451686,0.34615384615384615,0,True
S5_macd_cross,dotcom_crash,닷컴 붕괴,29,-0.818928269348229,-0.9079146606413956,1.59346001501191,0.3103448275862069,0,True
S5_macd_cross,recovery_expansion,회복·확장,57,-0.1404422536323614,-0.28793265436311,0.9579645490700976,0.2631578947368421,0,True
S5_macd_cross,financial_crisis,금융위기,11,0.03624173642064719,-0.1101750678912827,1.0531047897643968,0.36363636363636365,0,False
S5_macd_cross,long_bull,장기 강세,114,-0.14567775045492448,-0.15736653113658233,0.7609002653340972,0.37719298245614036,0,True
S5_macd_cross,covid_crash,코로나,5,1.0569096900068065,0.817725326008456,1.212964342958851,1.0,0,False
S5_macd_cross,recent,최근 국면,67,-0.07419634877057908,-0.1721219923009442,0.7821364921118054,0.3283582089552239,0,True
