signal_id,label,h,n,평균%,중앙값%,표준편차%,승률%,전체평균%,차이%p
S1_rsi_oversold,S1 RSI<30,1,65,-0.46956781595593233,-0.1304030159777203,2.5993409625175117,47.69230769230769,0.03246921198489908,-0.5020370279408314
S1_rsi_oversold,S1 RSI<30,5,65,-0.04335667976866533,0.6004160254165392,4.347570728368014,60.0,0.15420432476427995,-0.19756100453294528
S1_rsi_oversold,S1 RSI<30,10,65,0.27642311653849233,0.17505001984818858,5.049761195240386,52.307692307692314,0.30281065624005543,-0.026387539701563066
S1_rsi_oversold,S1 RSI<30,20,65,1.7966786517557338,1.866819976121037,6.715939678231122,64.61538461538461,0.6086591681111843,1.1880194836445497
S2_rsi_overbought,S2 RSI>70,1,137,0.006213940121283342,0.0452194832708086,0.6133600308906256,52.55474452554745,0.03246921198489908,-0.026255271863615735
S2_rsi_overbought,S2 RSI>70,5,137,0.12893135425270172,0.2672071955403421,1.1977562311030054,59.12408759124088,0.15420432476427995,-0.02527297051157823
S2_rsi_overbought,S2 RSI>70,10,137,0.3946963928422898,0.6438253392606619,1.8187176984039402,68.61313868613139,0.30281065624005543,0.09188573660223438
S2_rsi_overbought,S2 RSI>70,20,137,0.9169616487680924,1.4835298609250147,2.9262331823004044,72.26277372262774,0.6086591681111843,0.3083024806569081
S3_bb_lower_break,S3 볼린저 하단,1,209,-0.016715866647075316,0.29405973691347675,1.85218016480232,55.50239234449761,0.03246921198489908,-0.0491850786319744
S3_bb_lower_break,S3 볼린저 하단,5,208,0.21617164893997654,0.4137227081014494,3.713059279627821,56.25,0.15420432476427995,0.061967324175696566
S3_bb_lower_break,S3 볼린저 하단,10,208,0.15991310482838367,0.48255869965266873,4.421766008148122,55.28846153846154,0.30281065624005543,-0.14289755141167174
S3_bb_lower_break,S3 볼린저 하단,20,208,0.8460758651482035,1.8492414855847294,6.269282970840728,64.42307692307693,0.6086591681111843,0.23741669703701926
S4_bb_upper_break,S4 볼린저 상단,1,191,-0.05054800171195948,0.01550346964389604,0.6485226871269707,50.78534031413613,0.03246921198489908,-0.08301721369685856
S4_bb_upper_break,S4 볼린저 상단,5,191,-0.08973893251896083,0.15062167833614915,1.504734995528703,54.45026178010471,0.15420432476427995,-0.2439432572832408
S4_bb_upper_break,S4 볼린저 상단,10,191,0.0449242686895692,0.44851991624152987,2.1259906777902016,59.68586387434554,0.30281065624005543,-0.2578863875504862
S4_bb_upper_break,S4 볼린저 상단,20,191,0.22520343684160438,0.7985429130593857,3.3052317323385267,59.16230366492147,0.6086591681111843,-0.38345573126957994
S5_macd_cross,S5 MACD>Signal,1,283,0.03149089380330088,0.014980445507073448,0.973523134695467,51.23674911660777,0.03246921198489908,-0.0009783181815981945
S5_macd_cross,S5 MACD>Signal,5,283,0.08346293670503069,0.3051616438143778,1.9667819334394863,58.657243816254415,0.15420432476427995,-0.07074138805924927
S5_macd_cross,S5 MACD>Signal,10,283,0.21269845572379115,0.5196965000219711,3.1910688297788687,59.717314487632514,0.30281065624005543,-0.09011220051626427
S5_macd_cross,S5 MACD>Signal,20,282,0.40052440977757614,1.3525958300829588,4.472725111844404,60.99290780141844,0.6086591681111843,-0.20813475833360817
