date,ticker,open,high,low,close,adj_close,volume,daily_return,daily_return_pct
2000-04-14,^GSPC,1440.510009765625,1440.510009765625,1339.4000244140625,1356.56005859375,1356.56005859375,1279700000,-0.05827793670488546,-5.83
2001-01-03,^GSPC,1283.27001953125,1347.760009765625,1274.6199951171875,1347.56005859375,1347.56005859375,1880700000,0.05009860597069338,5.01
2002-07-24,^GSPC,797.7100219726562,844.3200073242188,775.6799926757812,843.4299926757812,843.4299926757812,2775560000,0.05732729067187403,5.73
2002-07-29,^GSPC,852.8400268554688,898.9600219726562,852.8400268554688,898.9600219726562,898.9600219726562,1778650000,0.05407813149581853,5.41
2008-09-29,^GSPC,1209.0699462890625,1209.0699462890625,1106.4200439453125,1106.4200439453125,1106.4200439453125,7305060000,-0.08806776221769597,-8.81
2008-09-30,^GSPC,1113.780029296875,1168.030029296875,1113.780029296875,1166.3599853515625,1166.3599853515625,4937680000,0.0541746705821724,5.42
2008-10-07,^GSPC,1057.5999755859375,1072.9100341796875,996.22998046875,996.22998046875,996.22998046875,7069210000,-0.05739484084336377,-5.74
2008-10-09,^GSPC,988.4199829101562,1005.25,909.1900024414062,909.9199829101562,909.9199829101562,6819000000,-0.07616709580816616,-7.62
2008-10-13,^GSPC,912.75,1006.9299926757812,912.75,1003.3499755859375,1003.3499755859375,7263370000,0.11580036951513706,11.58
2008-10-15,^GSPC,994.5999755859375,994.5999755859375,903.989990234375,907.8400268554688,907.8400268554688,6542330000,-0.0903497780862258,-9.03
2008-10-22,^GSPC,951.6699829101562,951.6699829101562,875.8099975585938,896.780029296875,896.780029296875,6147980000,-0.06101246975642627,-6.1
2008-10-28,^GSPC,848.9199829101562,940.510009765625,845.27001953125,940.510009765625,940.510009765625,7096950000,0.10789005877973534,10.79
2008-11-05,^GSPC,1001.8400268554688,1001.8400268554688,949.8599853515625,952.77001953125,952.77001953125,5426640000,-0.05267708721725084,-5.27
2008-11-06,^GSPC,952.4000244140625,952.4000244140625,899.72998046875,904.8800048828125,904.8800048828125,6102230000,-0.05026398151360678,-5.03
2008-11-12,^GSPC,893.3900146484375,893.3900146484375,850.47998046875,852.2999877929688,852.2999877929688,5764180000,-0.05189390264262972,-5.19
2008-11-13,^GSPC,853.1300048828125,913.010009765625,818.6900024414062,911.2899780273438,911.2899780273438,7849120000,0.06921270805966984,6.92
2008-11-19,^GSPC,859.030029296875,864.5700073242188,806.1799926757812,806.5800170898438,806.5800170898438,6548600000,-0.06115557585198217,-6.12
2008-11-20,^GSPC,805.8699951171875,820.52001953125,747.780029296875,752.4400024414062,752.4400024414062,9093740000,-0.06712293077105447,-6.71
2008-11-21,^GSPC,755.8400268554688,801.2000122070312,741.02001953125,800.030029296875,800.030029296875,9495900000,0.06324760339835156,6.32
2008-11-24,^GSPC,801.2000122070312,865.5999755859375,801.2000122070312,851.8099975585938,851.8099975585938,7879440000,0.06472253086203117,6.47
2008-12-01,^GSPC,888.6099853515625,888.6099853515625,815.6900024414062,816.2100219726562,816.2100219726562,6052010000,-0.0892952436107991,-8.93
2008-12-16,^GSPC,871.530029296875,914.6599731445312,871.530029296875,913.1799926757812,913.1799926757812,6009780000,0.05136026454446818,5.14
2009-01-20,^GSPC,849.6400146484375,849.6400146484375,804.469970703125,805.219970703125,805.219970703125,6375230000,-0.052816102046715274,-5.28
2009-03-10,^GSPC,679.280029296875,719.5999755859375,679.280029296875,719.5999755859375,719.5999755859375,8618330000,0.06366302222212594,6.37
2009-03-23,^GSPC,772.3099975585938,823.3699951171875,772.3099975585938,822.9199829101562,822.9199829101562,7715770000,0.07075754864749229,7.08
2011-08-08,^GSPC,1198.47998046875,1198.47998046875,1119.280029296875,1119.4599609375,1119.4599609375,2615150000,-0.06663446415643826,-6.66
2020-03-09,^GSPC,2863.889892578125,2863.889892578125,2734.429931640625,2746.56005859375,2746.56005859375,8441290000,-0.07596969747745097,-7.6
2020-03-12,^GSPC,2630.860107421875,2660.949951171875,2478.860107421875,2480.639892578125,2480.639892578125,8850810000,-0.09511268097833658,-9.51
2020-03-13,^GSPC,2569.989990234375,2711.330078125,2492.3701171875,2711.02001953125,2711.02001953125,8299070000,0.09287124972971839,9.29
2020-03-16,^GSPC,2508.590087890625,2562.97998046875,2380.93994140625,2386.1298828125,2386.1298828125,7805450000,-0.11984055240393443,-11.98
2020-03-17,^GSPC,2425.659912109375,2553.929931640625,2367.0400390625,2529.18994140625,2529.18994140625,8370250000,0.05995484974402432,6.0
2020-03-18,^GSPC,2436.5,2453.570068359375,2280.52001953125,2398.10009765625,2398.10009765625,8799300000,-0.051830762729157875,-5.18
2020-03-24,^GSPC,2344.43994140625,2449.7099609375,2344.43994140625,2447.330078125,2447.330078125,7563150000,0.09382773976227554,9.38
2020-03-26,^GSPC,2501.2900390625,2637.010009765625,2500.719970703125,2630.070068359375,2630.070068359375,7766990000,0.062414163303876835,6.24
2020-04-06,^GSPC,2578.280029296875,2676.85009765625,2574.570068359375,2663.679931640625,2663.679931640625,6403840000,0.07033131865275055,7.03
