signal_id,label,h,n,sd_ratio,observed_t,p_perm_mean,p_perm_stud,판정_mean,판정_stud
S1_rsi_oversold,S1 RSI<30,1,65,2.143736449829632,-1.5571454367912592,0.0018998100189981,0.12438756124387561,통과,-
S1_rsi_oversold,S1 RSI<30,5,65,1.7726289979866752,-0.36636269748629985,0.51004899510049,0.7198280171982802,-,-
S1_rsi_oversold,S1 RSI<30,10,65,1.5260709547171756,-0.04212934794183572,0.948105189481052,0.9662033796620338,-,-
S1_rsi_oversold,S1 RSI<30,20,65,1.4587819589226858,1.426177087055917,0.035996400359964,0.1621837816218378,-,-
S2_rsi_overbought,S2 RSI>70,1,137,0.5058521656256186,-0.5010272315784171,0.7902209779022098,0.6208379162083791,-,-
S2_rsi_overbought,S2 RSI>70,5,137,0.4883594909494234,-0.24697223692844222,0.9002099790020998,0.8087191280871913,-,-
S2_rsi_overbought,S2 RSI>70,10,137,0.5496284174745419,0.5913479447351321,0.7399260073992601,0.5503449655034497,-,-
S2_rsi_overbought,S2 RSI>70,20,137,0.6356126437194372,1.233185393305781,0.4217578242175782,0.21857814218578142,-,-
S3_bb_lower_break,S3 볼린저 하단,1,209,1.527535705470743,-0.3839045718670367,0.5472452754724527,0.6988301169883012,-,-
S3_bb_lower_break,S3 볼린저 하단,5,208,1.5139205228715134,0.2406924833596176,0.7106289371062894,0.8066193380661933,-,-
S3_bb_lower_break,S3 볼린저 하단,10,208,1.3362866901410635,-0.4660802473976365,0.5284471552844715,0.633036696330367,-,-
S3_bb_lower_break,S3 볼린저 하단,20,208,1.3617628107780244,0.5461664938716129,0.451954804519548,0.5771422857714229,-,-
S4_bb_upper_break,S4 볼린저 상단,1,191,0.534851619307784,-1.7691296581720517,0.3387661233876612,0.0760923907609239,-,-
S4_bb_upper_break,S4 볼린저 상단,5,191,0.6135235178475845,-2.240502746712945,0.1675832416758324,0.0245975402459754,-,-
S4_bb_upper_break,S4 볼린저 상단,10,191,0.642488327256565,-1.676423524289989,0.2793720627937206,0.09399060093990601,-,-
S4_bb_upper_break,S4 볼린저 상단,20,191,0.7179356355481976,-1.6033561549404949,0.240975902409759,0.10528947105289471,-,-
S5_macd_cross,S5 MACD>Signal,1,283,0.8028869850832487,-0.016905462862859714,0.9889011098890113,0.9838016198380162,-,-
S5_macd_cross,S5 MACD>Signal,5,283,0.8019132765759153,-0.6050769158838512,0.619038096190381,0.5466453354664533,-,-
S5_macd_cross,S5 MACD>Signal,10,283,0.9643619306629488,-0.47505144245177955,0.6493350664933507,0.6348365163483651,-,-
S5_macd_cross,S5 MACD>Signal,20,282,0.9715290805139548,-0.7814423778747247,0.4346565343465653,0.4243575642435756,-,-
