signal_id,regime,regime_name,n_trades,mean_return_pct,median_return_pct,std_return_pct,win_rate,n_boundary,sufficient
S1_rsi_oversold,dotcom_crash,닷컴 붕괴,6,-2.230096542005851,-0.09346152920887141,7.717006958274526,0.5,0,False
S1_rsi_oversold,recovery_expansion,회복·확장,4,1.9160377500948789,2.464228858981099,3.45435711230697,0.75,0,False
S1_rsi_oversold,financial_crisis,금융위기,4,-0.3652136286822594,-0.9413447528481443,3.812275053162542,0.5,0,False
S1_rsi_oversold,long_bull,장기 강세,14,2.6199413533843483,2.540664018706118,3.563687342827416,0.7857142857142857,0,False
S1_rsi_oversold,covid_crash,코로나,1,-20.721926016560843,-20.721926016560843,,0.0,0,False
S1_rsi_oversold,recent,최근 국면,5,-0.666812144412843,-0.8058021505209623,6.802876527077906,0.4,0,False
S2_rsi_overbought,dotcom_crash,닷컴 붕괴,2,-6.6748440416529835,-6.6748440416529835,0.13876150371608087,0.0,0,False
S2_rsi_overbought,recovery_expansion,회복·확장,8,1.087417820788318,1.0787088222233732,1.1323534456643,0.75,0,False
S2_rsi_overbought,financial_crisis,금융위기,0,,,,,0,False
S2_rsi_overbought,long_bull,장기 강세,32,0.7168670537347828,1.3215023481843557,3.1823861636828283,0.75,0,True
S2_rsi_overbought,covid_crash,코로나,2,-4.539151334723856,-4.539151334723856,2.3349598617129166,0.0,0,False
S2_rsi_overbought,recent,최근 국면,16,0.5457860212332413,1.9103814131327335,3.30542786525554,0.6875,0,False
S3_bb_lower_break,dotcom_crash,닷컴 붕괴,18,-0.6709288385244968,-1.6925989546306863,4.722448347851526,0.3888888888888889,0,False
S3_bb_lower_break,recovery_expansion,회복·확장,16,1.5204356233184202,1.0927159995071323,3.191154393201235,0.75,0,False
S3_bb_lower_break,financial_crisis,금융위기,8,0.1691296300988021,-5.422701428442439,11.034765184455193,0.375,0,False
S3_bb_lower_break,long_bull,장기 강세,43,1.7719347435514632,1.7129581097789393,3.5937183797807446,0.6744186046511628,0,True
S3_bb_lower_break,covid_crash,코로나,1,-20.721926016560843,-20.721926016560843,,0.0,0,False
S3_bb_lower_break,recent,최근 국면,26,2.14191058307289,2.537804100877439,4.829018822187735,0.7307692307692307,0,True
S4_bb_upper_break,dotcom_crash,닷컴 붕괴,7,-1.509294215460306,-1.4505274288137082,4.430444080569349,0.2857142857142857,0,False
S4_bb_upper_break,recovery_expansion,회복·확장,31,-0.31891304372275864,0.574244783138278,3.1812302679324373,0.5806451612903226,0,True
S4_bb_upper_break,financial_crisis,금융위기,4,-5.302541921085171,-6.278989022869058,4.749541206924239,0.25,0,False
S4_bb_upper_break,long_bull,장기 강세,45,0.3147936022056203,0.809223390430236,2.7266693141423466,0.6222222222222222,0,True
S4_bb_upper_break,covid_crash,코로나,2,2.2679191953613898,2.2679191953613898,0.9729142770636275,1.0,0,False
S4_bb_upper_break,recent,최근 국면,28,1.3100576164279423,2.1784222740826142,3.4001916142265447,0.6785714285714286,0,True
S5_macd_cross,dotcom_crash,닷컴 붕괴,18,-2.595732344501508,-1.8347910974289006,5.698367288389229,0.3333333333333333,0,False
S5_macd_cross,recovery_expansion,회복·확장,33,0.18515241599185195,1.0749174307013163,3.2315812231265677,0.6363636363636364,0,True
S5_macd_cross,financial_crisis,금융위기,8,-5.629586894909652,-4.209720632207515,8.541283837867548,0.25,0,False
S5_macd_cross,long_bull,장기 강세,76,1.0091861314217017,1.3585424339910057,3.4262262063085376,0.6578947368421053,0,True
S5_macd_cross,covid_crash,코로나,4,4.434075884148077,5.446189487514985,7.949702410297306,0.75,0,False
S5_macd_cross,recent,최근 국면,40,1.2216534024431127,1.3966354972504869,3.798394558302332,0.7,0,True
