kind,key,name,n_trades,avg_holding_days,exposure_pct,total_return_pct,cagr_pct,ann_vol_pct,sharpe,sortino,mdd_pct,calmar,win_rate_pct,profit_factor,cagr_nocash,cash_contrib_pp
benchmark,gspc_bh,"^GSPC Buy&Hold (가격지수, 배당 제외)",,,,414.6795924759684,6.371760763797374,19.261490823182612,0.31802300123793875,0.4048975475051328,-56.77538774277282,0.11222751648417341,,,,
benchmark,sp500tr_bh,^SP500TR Buy&Hold (총수익지수) — 기준선,,,,737.2876637409813,8.341338923749152,19.2618660375486,0.41329398057226613,0.5257996348352393,-55.25024106969596,0.15097380142155195,,,,
benchmark,irx_only,^IRX 전액 보유 (무위험수익률만),,,,66.00135812079256,1.9292065564390448,0.12132944696552903,-0.2068949234554082,-0.3146262701747715,-0.0014563404595047125,1324.6947469241838,,,,
strategy,S1_rsi_oversold h=1,S1_rsi_oversold h=1,65.0,1.0,0.9724715739078396,3.7540064965337905,0.13903810769224645,4.137901276086193,-0.40704790599771146,-0.3188337505178527,-31.204978973495667,0.004455638563651659,44.61538461538461,0.46155726201746355,-1.714041951648937,1.8530800593411834
strategy,S1_rsi_oversold h=5,S1_rsi_oversold h=5,48.0,5.0,3.5906642728904847,45.28832150792468,1.4183213679310969,7.7332977948948,-0.026195073913847365,-0.02636107081405453,-20.90346306298262,0.06785102371112679,58.333333333333336,0.9118972428445667,-0.41035874742406664,1.8286801153551635
strategy,S1_rsi_oversold h=10,S1_rsi_oversold h=10,43.0,10.0,6.433273488928785,27.32716212215991,0.91500153571209,9.085040698508738,-0.06461057155289168,-0.06561894368970196,-28.02102045956524,0.032654111831239375,51.16279069767442,0.7756949762702966,-0.844415621532546,1.759417157244636
strategy,S1_rsi_oversold h=20,S1_rsi_oversold h=20,34.0,20.0,10.173548773189706,54.52444355172008,1.6542562591025378,10.355679995417251,0.025743385902514297,0.026491955322200986,-28.520318116286347,0.058002728172863026,61.76470588235294,1.0721928885493541,-0.05682457353388681,1.7110808326364246
strategy,S2_rsi_overbought h=1,S2_rsi_overbought h=1,137.0,1.0,2.049670855774985,24.429097091761598,0.8274410059020187,1.4311227494564738,-0.7563425436073854,-0.6601050629708,-17.51530929714099,0.04724101595151855,36.496350364963504,0.4193186598484537,-1.0060282326240344,1.8334692385260531
strategy,S2_rsi_overbought h=5,S2_rsi_overbought h=5,104.0,5.0,7.7797725912627165,30.728207524927754,1.0153452867653012,3.0178990333606066,-0.2834844672410189,-0.25524632072347686,-11.25785140502188,0.09018997055800346,52.88461538461539,0.6564190812032112,-0.7237825542410148,1.739127841006316
strategy,S2_rsi_overbought h=10,S2_rsi_overbought h=10,80.0,10.0,11.968880909634949,71.31848942374852,2.05043997351424,4.276331880430102,0.04929276198751991,0.04722393118963413,-11.055639954266038,0.18546551642386264,65.0,1.2063862156805558,0.35734629343893154,1.6930936800753082
strategy,S2_rsi_overbought h=20,S2_rsi_overbought h=20,60.0,20.0,17.953321364452425,75.63827308444225,2.1462965573689985,5.634509476585808,0.06609513029925847,0.06416352821716019,-14.433481992570208,0.14870261787653374,68.33333333333333,1.2594034117737716,0.5511556008389373,1.5951409565300612
strategy,S3_bb_lower_break h=1,S3_bb_lower_break h=1,209.0,1.0,3.126870137642131,-1.4587270860764723,-0.05538661924363586,5.20292511759054,-0.3515871295939417,-0.31163122594488535,-36.45651677630237,-0.0015192515396763994,51.196172248803826,0.7124562657187552,-1.8288050699989067,1.7734184507552708
strategy,S3_bb_lower_break h=5,S3_bb_lower_break h=5,154.0,5.0,11.520047875523638,117.33822831920628,2.969996413804621,9.396023624597245,0.15523441996802434,0.16505108048937434,-21.562768094534423,0.13773725158030312,55.84415584415584,1.2831280595130505,1.293554328222668,1.6764420855819528
