signal_id,label,h,n,관측 평균%,전체 평균%,차이%p,초과 관측 수,p,Bonferroni 통과
S1_rsi_oversold,S1 RSI<30,1,65,-0.46956781595593233,0.03246921198489908,-0.5020370279408314,18,0.0018998100189981002,True
S1_rsi_oversold,S1 RSI<30,5,65,-0.04335667976866533,0.15420432476427995,-0.19756100453294528,5100,0.51004899510049,False
S1_rsi_oversold,S1 RSI<30,10,65,0.27642311653849233,0.30281065624005543,-0.026387539701563066,9481,0.9481051894810519,False
S1_rsi_oversold,S1 RSI<30,20,65,1.7966786517557338,0.6086591681111843,1.1880194836445497,359,0.035996400359964,False
S2_rsi_overbought,S2 RSI>70,1,137,0.006213940121283342,0.03246921198489908,-0.026255271863615735,7902,0.7902209779022098,False
S2_rsi_overbought,S2 RSI>70,5,137,0.12893135425270172,0.15420432476427995,-0.02527297051157823,9002,0.9002099790020998,False
S2_rsi_overbought,S2 RSI>70,10,137,0.3946963928422898,0.30281065624005543,0.09188573660223438,7399,0.7399260073992601,False
S2_rsi_overbought,S2 RSI>70,20,137,0.9169616487680924,0.6086591681111843,0.3083024806569081,4217,0.42175782421757824,False
S3_bb_lower_break,S3 볼린저 하단,1,209,-0.016715866647075316,0.03246921198489908,-0.0491850786319744,5472,0.5472452754724527,False
S3_bb_lower_break,S3 볼린저 하단,5,208,0.21617164893997654,0.15420432476427995,0.061967324175696566,7106,0.7106289371062894,False
S3_bb_lower_break,S3 볼린저 하단,10,208,0.15991310482838367,0.30281065624005543,-0.14289755141167174,5284,0.5284471552844715,False
S3_bb_lower_break,S3 볼린저 하단,20,208,0.8460758651482035,0.6086591681111843,0.23741669703701926,4519,0.45195480451954806,False
S4_bb_upper_break,S4 볼린저 상단,1,191,-0.05054800171195948,0.03246921198489908,-0.08301721369685856,3387,0.3387661233876612,False
S4_bb_upper_break,S4 볼린저 상단,5,191,-0.08973893251896083,0.15420432476427995,-0.2439432572832408,1675,0.1675832416758324,False
S4_bb_upper_break,S4 볼린저 상단,10,191,0.0449242686895692,0.30281065624005543,-0.2578863875504862,2793,0.2793720627937206,False
S4_bb_upper_break,S4 볼린저 상단,20,191,0.22520343684160438,0.6086591681111843,-0.38345573126957994,2409,0.24097590240975902,False
S5_macd_cross,S5 MACD>Signal,1,283,0.03149089380330088,0.03246921198489908,-0.0009783181815981945,9889,0.9889011098890111,False
S5_macd_cross,S5 MACD>Signal,5,283,0.08346293670503069,0.15420432476427995,-0.07074138805924927,6190,0.619038096190381,False
S5_macd_cross,S5 MACD>Signal,10,283,0.21269845572379115,0.30281065624005543,-0.09011220051626427,6493,0.6493350664933507,False
S5_macd_cross,S5 MACD>Signal,20,282,0.40052440977757614,0.6086591681111843,-0.20813475833360817,4346,0.43465653434656537,False
