signal_id,label,레벨 일수,레벨 발동률%,사건 수 n,평균 지속일수,예측(본인),예측(참고),본인 대비 배율,참고 대비 배율
S1_rsi_oversold,S1 RSI<30,126,1.8850987432675046,65,1.9384615384615385,76,42,0.8552631578947368,1.5476190476190477
S2_rsi_overbought,S2 RSI>70,426,6.373429084380611,137,3.1094890510948905,234,61,0.5854700854700855,2.2459016393442623
S3_bb_lower_break,S3 볼린저 하단,368,5.505685218432077,209,1.7607655502392345,217,186,0.9631336405529954,1.1236559139784945
S4_bb_upper_break,S4 볼린저 상단,321,4.802513464991024,191,1.6806282722513088,239,184,0.799163179916318,1.0380434782608696
S5_macd_cross,S5 MACD>Signal,3360,50.269299820466784,283,11.87279151943463,1003,197,0.28215353938185445,1.4365482233502538
