ticker,phase,n_days,cum_return,ann_log_return,cagr,ann_vol,skew,se_skew,excess_kurt,se_kurt,mdd,start,end
^GSPC,dotcom_crash,695,-0.4713220964671604,-0.23110608556103837,-0.2063447337950578,0.2313809761722356,0.14809732352218036,0.09291444196237664,1.2376627916543437,0.18582888392475327,-0.4914694789846552,2000-01-03,2002-10-09
^GSPC,recovery_expansion,1258,1.0149724557605926,0.14034387319418834,0.1506694151996606,0.13582064953594097,0.14768703640204905,0.06906138832741962,2.3043445994272833,0.13812277665483924,-0.1471343374129186,2002-10-10,2007-10-09
^GSPC,financial_crisis,355,-0.5677538774277285,-0.5954015533755728,-0.44865887147990124,0.38079601895156584,-0.05371892900756684,0.13000541700523183,3.8370183609775617,0.26001083401046365,-0.5670124597707112,2007-10-10,2009-03-09
^GSPC,long_bull,2756,4.005173097582989,0.14725651062024778,0.1586511312351495,0.15621274991448073,-0.2093585262749162,0.04665906358687521,4.965613435510523,0.09331812717375042,-0.19778210435681998,2009-03-10,2020-02-19
^GSPC,covid_crash,135,0.03371385187967668,0.06189493107919475,0.06385056122528443,0.44834985433513014,-0.6919429323299411,0.21081851067789195,4.890989242580515,0.4216370213557839,-0.33671883764271626,2020-02-20,2020-08-31
^GSPC,recent,1485,1.1397305065748244,0.1290850721739737,0.1377869140549075,0.16774533683124473,-0.0677912310546236,0.06356417261637282,5.818892044642261,0.12712834523274563,-0.2542509661923039,2020-09-01,2026-07-31
^SP500TR,dotcom_crash,695,-0.45141485070421705,-0.2177036234530981,-0.19563619909146346,0.231377239982265,0.1487293194070522,0.09291444196237664,1.2379183258201638,0.18582888392475327,-0.47414118769117986,2000-01-03,2002-10-09
^SP500TR,recovery_expansion,1258,1.2066984280713609,0.15855116342598188,0.1718118766017156,0.13583424679877718,0.1466619758176628,0.06906138832741962,2.293304849474689,0.13812277665483924,-0.14240731126199446,2002-10-10,2007-10-09
^SP500TR,financial_crisis,355,-0.5525024106969598,-0.5707864798172971,-0.43491916078698944,0.38073998298473144,-0.053037417807229384,0.13000541700523183,3.8292164563603746,0.26001083401046365,-0.5517678814303746,2007-10-10,2009-03-09
^SP500TR,long_bull,2756,5.288783943224114,0.16813115584384677,0.18309176987199471,0.15619767045272187,-0.20691219506172429,0.04665906358687521,4.966881901951492,0.09331812717375042,-0.19363489814736556,2009-03-10,2020-02-19
^SP500TR,covid_crash,135,0.04438262838611973,0.08106172592083093,0.0844378324246906,0.4483637565218284,-0.6890469830016841,0.21081851067789195,4.891378946827297,0.4216370213557839,-0.3354002339444334,2020-02-20,2020-08-31
^SP500TR,recent,1485,1.3308069871762265,0.14360004553424652,0.15442229982566325,0.16772782610049433,-0.06621330863402027,0.06356417261637282,5.809194007809346,0.12712834523274563,-0.2449163980014808,2020-09-01,2026-07-31
