signal_id,label,regime,regime_name,n_days,n_sig,rate,rate_ratio,share_sig,share_days,mean_uncond_h1,mean_sig_h1
S1_rsi_oversold,S1 RSI<30,dotcom_crash,닷컴 붕괴,695,15,0.02158273381294964,2.219369120088545,0.23076923076923078,0.10397965290245362,-0.0006351870652290209,-0.004332338050541474
S1_rsi_oversold,S1 RSI<30,recovery_expansion,회복·확장,1258,7,0.005564387917329093,0.5721902898373487,0.1076923076923077,0.18821065230400957,0.0005293802004117698,0.008975911869500277
S1_rsi_oversold,S1 RSI<30,financial_crisis,금융위기,355,9,0.02535211267605634,2.606977248104009,0.13846153846153847,0.05311190903650509,-0.0018681465533879164,-0.008591698297487231
S1_rsi_oversold,S1 RSI<30,long_bull,장기 강세,2756,21,0.007619738751814224,0.7835435971865581,0.3230769230769231,0.412327947336924,0.0006037319811795218,-0.002634346272360197
S1_rsi_oversold,S1 RSI<30,covid_crash,코로나,135,3,0.022222222222222223,2.2851282051282054,0.046153846153846156,0.020197486535008975,0.0009150264358393669,-0.07095741337309584
S1_rsi_oversold,S1 RSI<30,recent,최근 국면,1485,10,0.006734006734006734,0.6924630924630925,0.15384615384615385,0.22217235188509873,0.000553516912023434,0.004245340381650087
S2_rsi_overbought,S2 RSI>70,dotcom_crash,닷컴 붕괴,695,2,0.0028776978417266188,0.14039804652628263,0.014598540145985401,0.10397965290245362,-0.0006351870652290209,-0.008941618338138169
S2_rsi_overbought,S2 RSI>70,recovery_expansion,회복·확장,1258,19,0.015103338632750398,0.7368665359219246,0.1386861313868613,0.18821065230400957,0.0005293802004117698,0.00021368114077968095
S2_rsi_overbought,S2 RSI>70,financial_crisis,금융위기,355,0,0.0,0.0,0.0,0.05311190903650509,-0.0018681465533879164,
S2_rsi_overbought,S2 RSI>70,long_bull,장기 강세,2756,78,0.02830188679245283,1.3808015424872608,0.5693430656934306,0.412327947336924,0.0006037319811795218,-0.0005336686376100602
S2_rsi_overbought,S2 RSI>70,covid_crash,코로나,135,2,0.014814814814814815,0.7227899432278995,0.014598540145985401,0.020197486535008975,0.0009150264358393669,0.0011982276584361906
S2_rsi_overbought,S2 RSI>70,recent,최근 국면,1485,36,0.024242424242424242,1.1827471798274718,0.26277372262773724,0.22217235188509873,0.000553516912023434,0.001710169205120358
S3_bb_lower_break,S3 볼린저 하단,dotcom_crash,닷컴 붕괴,695,40,0.05755395683453238,1.8406251075694469,0.19138755980861244,0.10397965290245362,-0.0006351870652290209,0.0013216194796308006
