analysis,W,n_signal_raw,n_control_raw,n_signal_included,K_included,included_strata,delta,exp_delta,se,t_stud,p_raw,p_stud,extreme_raw,extreme_stud,iterations,seed,alpha,significant_stud,delta_pre,d4_1_max_weight,d4_1_flag,d4_2_opposite_weight,d4_2_flag,d4_3_flagged_strata,d4_3_flag,d4_4_delta_pre,d4_4_flag,d4_5_crossing,d4_5_abs_log_ratio,d4_5_ratio_exceeded,d4_5_flag,d4_6_n_signal_raw,d4_6_flag
main_W20,20,65,6598,62,3,Q3;Q4;Q5,0.35798089377073294,1.430438289936887,0.05281026806958353,6.778622924220957,9.999000099990002e-05,9.999000099990002e-05,0,0,10000,42,0.05,True,0.02691704510264359,0.5161290322580645,True,0.0,False,Q3;Q4;Q5,True,0.02691704510264359,False,False,0.0,False,False,65.0,False
declustered_W20,20,34,281,31,3,Q3;Q4;Q5,0.44439562980897535,1.5595473670124347,0.0744947312717621,5.965463895530926,9.999000099990002e-05,9.999000099990002e-05,0,0,10000,42,0.05,True,-0.008308873732526385,,,,,,,,,,,,,,
